類群名,taxon group
鳥類,Birds
哺乳類,Mammals
兩棲類,Amphibians
爬蟲類,Reptiles
魚類,Fishes
蜘蛛類,Spiders
蝦蟹類,Crustaceans
蜻蛉類,Dragonflies
蝶類,Butterflies
蛾類,Moths
蝸牛類,Snails & Shells
甲蟲類,Beetles
其他昆蟲,other insects
其他無脊椎,other invertebrates
原藻類,Chromista
真菌類,Fungi
石松類,Lycophytes
蕨類,Ferns
被子植物,Angiosperms
裸子植物,Gymnosperms
